date,min,max,median,q1,q3,stdev,count
2020-02-21T00:00:00.000Z,0.35,5.95,1.66,0.94,2.52,1.327,419
2020-02-22T00:00:00.000Z,0.1,3.47,0.7,0.5,1.02,0.368,423
2020-02-23T00:00:00.000Z,0.22,3.28,0.6,0.45,1.12,0.594,441
2020-02-24T00:00:00.000Z,0.3,10.48,0.92,0.7,1.3,0.831,525
2020-02-25T00:00:00.000Z,0.4,1.98,0.94,0.78,1.21,0.308,453
2020-02-26T00:00:00.000Z,0.35,1.18,0.68,0.61,0.76,0.121,391
2020-02-27T00:00:00.000Z,0.5,2.33,0.99,0.8,1.18,0.26,549
2020-02-28T00:00:00.000Z,0.46,3.13,1.12,0.9,1.45,0.452,557
2020-02-29T00:00:00.000Z,0.9,6.06,1.95,1.55,3.22,1.087,575
2020-03-01T00:00:00.000Z,0.64,6.68,1.54,1.3,1.82,1.129,571
2020-03-02T00:00:00.000Z,0.9,3.4,1.88,1.55,2.16,0.42,470
2020-03-03T00:00:00.000Z,1.47,10.5,3.39,2.58,4.73,1.983,424
2020-03-04T00:00:00.000Z,0.3,10.15,0.72,0.54,1.05,1.914,587
2020-03-05T00:00:00.000Z,0.55,3.16,1,0.85,1.3,0.525,587
2020-03-06T00:00:00.000Z,0.4,3.1,1.23,0.88,1.58,0.455,590
2020-03-07T00:00:00.000Z,1.3,30.38,3.85,2.84,6.47,3.547,592
2020-03-08T00:00:00.000Z,3.34,20.05,6.74,5.98,8.19,1.813,590
2020-03-09T00:00:00.000Z,0.92,11.84,3.58,1.87,6.15,2.99,584
2020-03-10T00:00:00.000Z,0.94,12.55,3.59,2.58,6.32,2.686,586
2020-03-11T00:00:00.000Z,0.2,3.3,1.38,0.66,2.25,0.825,575
2020-03-12T00:00:00.000Z,0.3,2.5,1.2,0.87,1.6,0.47,492
2020-03-13T00:00:00.000Z,0.3,1.5,0.55,0.48,0.75,0.248,509
2020-03-14T00:00:00.000Z,0.25,3.54,0.55,0.45,0.95,0.57,541
2020-03-15T00:00:00.000Z,1.6,4.12,2.72,2.27,3.1,0.554,289
2020-03-16T00:00:00.000Z,0.35,4.19,1.06,0.79,1.45,0.935,579
2020-03-17T00:00:00.000Z,0.62,2.85,1.33,1.1,1.71,0.46,582
2020-03-18T00:00:00.000Z,0.2,3.6,0.95,0.63,2.15,0.806,502
2020-03-19T00:00:00.000Z,0.35,1.95,0.97,0.75,1.14,0.294,546
2020-03-20T00:00:00.000Z,0.43,2.66,0.95,0.73,1.3,0.433,468
2020-03-21T00:00:00.000Z,0.36,2.37,0.75,0.62,0.99,0.301,479
2020-03-22T00:00:00.000Z,0.35,1.85,0.96,0.76,1.17,0.283,450
2020-03-23T00:00:00.000Z,0.52,3.2,1.06,0.85,1.23,0.31,431
2020-03-24T00:00:00.000Z,1.1,3.15,1.75,1.58,2.16,0.44,453
2020-03-25T00:00:00.000Z,1.4,4.45,2.79,2.43,3.39,0.617,425
2020-03-26T00:00:00.000Z,2.63,9.52,5.47,4.97,6.86,1.349,426
2020-03-27T00:00:00.000Z,4.2,13.16,6.6,5.46,7.73,1.365,373
2020-03-28T00:00:00.000Z,0.4,1.32,0.74,0.6,0.86,0.195,176
2020-03-29T00:00:00.000Z,0.35,1.87,0.67,0.56,0.8,0.252,336
2020-03-30T00:00:00.000Z,0.4,1.07,0.68,0.55,0.8,0.156,140
2020-03-31T00:00:00.000Z,0.4,2.04,0.8,0.66,0.93,0.223,310
2020-04-01T00:00:00.000Z,0.3,1.73,0.9,0.73,1.02,0.258,177
2020-04-02T00:00:00.000Z,0.3,2.45,1.17,0.8,1.6,0.475,393
2020-04-03T00:00:00.000Z,0.3,1.4,0.6,0.5,0.71,0.178,429
